HUC,60407,60302,60103,60403,60401,60303,60404,60202,60406,60405,60105,60102,60402,60305,60301,60201,60104,60101,60304,51001
60407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60302,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
60103,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
60403,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60401,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60303,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
60404,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60202,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
60406,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
60405,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60105,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
60102,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1
60402,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
60305,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
60301,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
60201,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
60104,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1
60101,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1
60304,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
51001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
